,Math,Science,Literature,History,Art,Computer Science,Economics,Technology,Healthcare,Business,Arts,Education,Engineering,Analytical,Creative,Social
S001,72.0,76.0,84.0,81.0,86.0,76.0,85.0,4.0,1.0,1.0,3.0,2.0,2.0,0.29389648566728577,0.6000569256534812,0.43936688596836293
S002,97.0,73.0,73.0,71.0,64.0,96.0,63.0,2.0,1.0,5.0,3.0,2.0,5.0,0.8055301539134709,0.5594862576265114,0.9336785863468288
S003,88.0,84.0,63.0,75.0,61.0,82.0,63.0,4.0,1.0,4.0,1.0,3.0,4.0,0.5179829683849783,0.8874953031572362,0.5205251380141022
S004,79.0,76.0,65.0,77.0,79.0,98.0,93.0,3.0,3.0,3.0,4.0,4.0,4.0,0.5580348036403331,0.36680799545558673,0.4001691234605622
S005,99.0,83.0,77.0,89.0,60.0,82.0,88.0,2.0,3.0,2.0,1.0,4.0,5.0,0.9331014872916122,0.2232824019805375,0.12145772167282498
S006,91.0,61.0,95.0,76.0,61.0,63.0,93.0,1.0,3.0,3.0,2.0,4.0,4.0,0.8302109118039409,0.5769107997448797,0.28464731446147273
S007,60.0,82.0,65.0,75.0,61.0,71.0,86.0,1.0,1.0,1.0,5.0,5.0,3.0,0.43240022028969294,0.5249052267772668,0.5921402568364347
S008,78.0,87.0,94.0,63.0,66.0,96.0,84.0,3.0,3.0,4.0,3.0,2.0,1.0,0.8210510229384735,0.39435232745601545,0.6765031132264316
S009,76.0,73.0,96.0,61.0,83.0,74.0,92.0,4.0,5.0,1.0,3.0,5.0,5.0,0.8347669737641406,0.8437734559580291,0.2542452050364242
S010,71.0,78.0,64.0,60.0,68.0,98.0,93.0,5.0,1.0,4.0,1.0,2.0,3.0,0.3501730442501231,0.5949060342622143,0.8857723912469462
S011,88.0,61.0,78.0,87.0,94.0,99.0,81.0,4.0,4.0,3.0,2.0,5.0,3.0,0.7904460866918956,0.5839629014162215,0.9837336306238439
S012,63.0,67.0,60.0,95.0,66.0,84.0,88.0,5.0,3.0,1.0,2.0,2.0,3.0,0.4389872294234416,0.8424505711862469,0.8184203799729463
S013,60.0,77.0,63.0,79.0,67.0,86.0,98.0,2.0,5.0,2.0,2.0,2.0,4.0,0.9080383116702819,0.9876783550252123,0.4956966975798289
S014,94.0,84.0,73.0,99.0,90.0,64.0,76.0,3.0,1.0,1.0,4.0,4.0,1.0,0.19562964870339272,0.4608953568281512,0.853884876985432
S015,69.0,75.0,63.0,64.0,79.0,65.0,70.0,5.0,1.0,1.0,3.0,1.0,1.0,0.8361066342554314,0.33596990758680967,0.04730680695867373
S016,76.0,62.0,75.0,95.0,85.0,83.0,93.0,2.0,4.0,1.0,1.0,5.0,1.0,0.5098420978262436,0.4741009290788121,0.08576397777713163
S017,79.0,76.0,79.0,75.0,63.0,77.0,95.0,3.0,5.0,1.0,3.0,4.0,1.0,0.7948899557235948,0.2835902739385511,0.6457520921741139
S018,94.0,89.0,77.0,80.0,91.0,64.0,82.0,4.0,1.0,5.0,5.0,3.0,2.0,0.10148786265499965,0.8607031729096029,0.7392745031551632
S019,89.0,86.0,74.0,73.0,80.0,93.0,85.0,3.0,1.0,4.0,4.0,1.0,2.0,0.3884227089786657,0.6294889493232346,0.18745389268557477
S020,84.0,90.0,65.0,63.0,83.0,90.0,78.0,2.0,2.0,1.0,5.0,5.0,1.0,0.9854224909589451,0.7961080420937187,0.788940003069027
S021,70.0,88.0,64.0,77.0,62.0,99.0,70.0,5.0,2.0,5.0,1.0,5.0,5.0,0.15338021757787612,0.01773352489386215,0.5853713677696333
S022,80.0,89.0,78.0,84.0,94.0,71.0,85.0,5.0,5.0,1.0,3.0,5.0,3.0,0.14412061183981095,0.780433456488845,0.41607614017824623
S023,64.0,78.0,86.0,97.0,88.0,71.0,78.0,1.0,4.0,3.0,1.0,4.0,5.0,0.33859424898743173,0.07364926246171055,0.9960650799446216
S024,68.0,77.0,88.0,62.0,82.0,89.0,83.0,1.0,2.0,4.0,2.0,5.0,5.0,0.9560107803868797,0.13159690780685107,0.3328116041814918
S025,96.0,96.0,63.0,87.0,75.0,72.0,67.0,3.0,5.0,3.0,4.0,2.0,4.0,0.39078753802460664,0.2968010781155954,0.9344685596548447
S026,84.0,61.0,89.0,99.0,62.0,82.0,88.0,2.0,1.0,4.0,1.0,2.0,3.0,0.7213418290220848,0.955916405594065,0.8745054025240979
S027,89.0,70.0,80.0,86.0,83.0,90.0,89.0,4.0,4.0,3.0,3.0,5.0,5.0,0.7545415194691729,0.6969671070798783,0.8661624909794813
S028,60.0,60.0,67.0,93.0,75.0,86.0,63.0,2.0,4.0,3.0,3.0,1.0,5.0,0.6841498967914552,0.188719798981151,0.648126516428098
S029,78.0,88.0,62.0,70.0,67.0,98.0,92.0,1.0,3.0,4.0,4.0,1.0,5.0,0.5150016399485733,0.9818946770953266,0.5099655470658696
S030,67.0,84.0,83.0,85.0,85.0,76.0,86.0,2.0,4.0,2.0,5.0,1.0,5.0,0.038454983151043676,0.26418951076564345,0.9173817604547656
