,Math,Science,Literature,History,Art,Computer Science,Economics,Technology,Healthcare,Business,Arts,Education,Engineering,Analytical,Creative,Social
S001,69.0,83.0,86.0,90.0,75.0,82.0,83.0,4.0,1.0,4.0,2.0,4.0,3.0,0.09421184278984451,0.5653512028394201,0.7210982253886051
S002,66.0,81.0,70.0,63.0,95.0,95.0,85.0,1.0,5.0,5.0,4.0,5.0,2.0,0.5239413513712751,0.293732299010134,0.44452235527820305
S003,75.0,65.0,94.0,93.0,69.0,86.0,96.0,4.0,2.0,2.0,3.0,5.0,2.0,0.35171821203757525,0.4979977863695607,0.40863354453862843
S004,97.0,68.0,92.0,70.0,73.0,77.0,85.0,5.0,1.0,5.0,3.0,1.0,5.0,0.130997817675639,0.9174411069156989,0.4561446446799504
S005,61.0,79.0,67.0,85.0,97.0,86.0,78.0,1.0,3.0,1.0,1.0,2.0,5.0,0.585131625897873,0.08908382033878803,0.7420992318612697
S006,91.0,77.0,92.0,98.0,95.0,68.0,61.0,5.0,1.0,2.0,4.0,2.0,3.0,0.21189382470573792,0.2543931549510686,0.44442030381768527
S007,92.0,98.0,74.0,81.0,75.0,86.0,84.0,3.0,5.0,1.0,1.0,3.0,5.0,0.09409723512092771,0.7957170156251279,0.20543201520542276
S008,61.0,76.0,70.0,90.0,66.0,64.0,80.0,2.0,5.0,4.0,4.0,3.0,3.0,0.023885367713328276,0.8951074753818725,0.6674638377598766
S009,94.0,71.0,79.0,86.0,94.0,65.0,61.0,1.0,2.0,2.0,2.0,2.0,3.0,0.3137727122851024,0.7997070835134776,0.7559130292725427
S010,70.0,94.0,71.0,94.0,83.0,67.0,67.0,5.0,3.0,4.0,5.0,3.0,2.0,0.4874160870840153,0.7944994420606373,0.15043011214304136
S011,61.0,95.0,65.0,92.0,98.0,97.0,72.0,3.0,5.0,5.0,2.0,1.0,4.0,0.9004605390609002,0.1368021666242587,0.045025945876621676
S012,84.0,99.0,85.0,66.0,68.0,69.0,78.0,1.0,4.0,4.0,5.0,5.0,5.0,0.7895679567914263,0.5518004681104048,0.30680778193111913
